A/P,group,Scientific Name,Body Mass (g),Max. Indiv. Dispersal Distance (m),logmass,logdist
A,Fish,Cyprinus carpio,1.14E+03,3.09E+03,3.055,3.489958479
P,Protista,Cyrtolophosis,1.00E-09,6.40E+01,-9,1.806179974
P,Plant,Dalbergia retusa,2.48E-01,117,-0.606,2.068185862
A,Insect,Danaus plexippus,4.15E-01,3.23E+06,-0.382,6.508529719
A,Fungi,Ascobolus immersus,1.00E-09,3.00E-02,-9,-1.522878745
P,Plant,Datura discolor,1.43E-02,39,-1.845,1.591064607
P,Plant,Datura wrightii,1.50E-02,251.9,-1.824,2.401228167
A,Reptile,Deirochelys reticularia,1.04E+03,1.92E+02,3.017,2.283301229
A,Birds,Delichon urbicum,2.00E+01,3.48E+04,1.301,4.541579244
A,Birds,Falcipennis canadensis,4.92E+02,6.00E+03,2.692,3.77815125
A,Birds,Dendragapus obscurus,8.91E+02,1.10E+04,2.95,4.041392685
A,Amphib,Oophaga pumilio,3.81E+00,2.00E+01,0.581,1.301029996
A,Birds,Dendrocopus major,8.16E+01,5.61E+04,1.912,4.748962861
P,Plant,Dendromecon rigida,1.60E-02,2.9,-1.796,0.462397998
A,Reptile,Dermochelys coriacea,7.00E+05,6.88E+06,5.845,6.837462171
A,Amphib,Desmognathus fuscus,2.84E+00,4.00E+01,0.453,1.602059991
A,Amphib,Desmognathus quadramaculatus,1.18E+01,2.50E+01,1.073,1.397940009
A,Insect,Diabrotica undecimpunctata,2.00E-01,8.06E+05,-0.699,5.906335042
P,Protista,Diatoms,1.00E-09,6.40E+01,-9,1.806179974
A,Amphib,Dicamptodon tenebrosus,6.77E+01,6.63E+01,1.83,1.821185883
A,Mammals,Didelphis virginiana,1.99E+03,5.15E+03,3.299,3.711975854
P,Protista,Difflugiidae,2.00E-06,1.60E+01,-5.699,1.204119983
P,Protista,Dileptus,3.00E-06,3.20E+01,-5.523,1.505149978
A,Mammals,Dipodomys merriami,4.40E+01,2.50E+02,1.643,2.397940009
A,Mammals,Dipodomys microps,6.50E+01,4.34E+02,1.813,2.63748973
A,Mammals,Dipodomys spectabilis,1.15E+02,2.00E+03,2.061,3.301029996
P,Plant,Dipsacus sylvestris,1.70E-03,1.5,-2.77,0.176091259
A,Insect,Dorcadion fuliginator,1.00E+00,2.18E+02,0,2.338456494
A,Insect,Drosophilia pseudoobscura,1.00E-04,1.46E+04,-4,4.164352856
A,Birds,Dryocopus pileatus,3.10E+02,3.20E+04,2.491,4.505149978
A,Birds,Elanus leucurus,3.25E+02,1.60E+05,2.512,5.204119983
A,Reptile,Pantherophis obsoleta,4.25E+01,3.88E+02,1.628,2.588831726
A,Amphib,Eleutherodactylus coqui,5.80E+00,6.68E+00,0.764,0.824776462
A,Amphib,Craugastor fitzingeri,1.33E+00,3.50E+01,0.123,1.544068044
A,Birds,Emberiza schoeniclus,1.83E+01,3.16E+04,1.262,4.499687083
A,Birds,Emberiza citrinella,2.65E+01,3.60E+04,1.423,4.556302501
A,Reptile,Emydoidea blandingii,1.15E+03,1.12E+03,3.061,3.047274867
P,Plant,Enhalus acoroides,2.49E-01,63500,-0.604,4.802773725
A,Amphib,Ensatina eschscholtzii platensis,4.15E+00,1.50E+02,0.618,2.177247836
P,Plant,Epilobium angustifolium,3.70E-04,10000,-3.432,4
P,Plant,Epilobium dodonaei,3.70E-04,50,-3.432,1.698970004
P,Plant,Epilobium hirsutum,5.00E-05,3800,-4.301,3.579783597
P,Plant,Epilobium palustre,4.00E-05,7300,-4.398,3.86332286
A,Mammals,Equus caballus,1.15E+06,2.40E+04,6.061,4.380211242
P,Plant,Eragrostis rigidior,6.43E-05,10.19,-4.192,1.008174184
A,Reptile,Eretmochelys imbricata,8.00E+04,2.93E+06,4.903,6.46612587
P,Plant,Erica cinerea,5.90E-05,81,-4.229,1.908485019
P,Plant,Erigeron acer,3.33E-04,3.61,-3.478,0.557507202
