"ID","Type","Eco","mean_cv_studylevel","sd_cv_studylevel","cv_res"
"A234_P1","LAT","Ter",2.08850475261777,1.01170936334146,"110km"
"A234_P1","LAT","Ter",1.45355564851042,1.39744980669468,"25km"
"A234_P1","LAT","Ter",1.77587595451476,1.37799941659364,"50km"
"A235_P1","LAT","Ter",2.44528013862348,1.99635354904421,"110km"
"A235_P1","LAT","Ter",1.50526036251768,2.01084114374338,"25km"
"A235_P1","LAT","Ter",1.89273760857354,2.10513732241611,"50km"
"A24_P1","LAT","Ter",NA,NA,"110km"
"A24_P1","LAT","Ter",0.235861535856707,0.525149600012788,"25km"
"A24_P1","LAT","Ter",-1.10895364508033,2.55948230423929,"50km"
"A247_P1","LAT","Ter",6.74928283285011,4.87123239020512,"110km"
"A247_P1","LAT","Ter",4.18418978027316,3.54284213778415,"25km"
"A247_P1","LAT","Ter",5.52202596942881,3.42958139906567,"50km"
"A253_P1","LAT","Mar",7.58850887622889,10.7695970397097,"110km"
"A253_P1","LAT","Mar",4.97446596864556,11.6115875486267,"25km"
"A253_P1","LAT","Mar",5.65928073158855,11.3082874693529,"50km"
"A254_P1","LAT","Mar",-3.32012406559218,15.6837799096914,"25km"
"A254_P2","LAT","Mar",1.69290861487389,0.492400433672415,"25km"
"A254_P2","LAT","Mar",1.85901759352003,0.308615528657634,"50km"
"A255_P1","LAT","Ter",3.6155918922741,2.7242376137382,"110km"
"A255_P1","LAT","Ter",1.42733669915888,2.31777291837204,"25km"
"A255_P1","LAT","Ter",2.02854966674371,2.64899247808693,"50km"
"A256_P1","LAT","Ter",1.4120198232787,1.46479993353688,"110km"
"A256_P1","LAT","Ter",0.435315476459436,1.3938354863016,"25km"
"A256_P1","LAT","Ter",0.544334449531401,1.80380240076381,"50km"
"A256_P2","LAT","Ter",3.19871261715889,1.41059342668862,"110km"
"A256_P2","LAT","Ter",0.93949146402266,1.70650838622821,"25km"
"A256_P2","LAT","Ter",1.09647185959906,1.88916524012826,"50km"
"A256_P3","LAT","Ter",4.20256948643006,4.37451309563172,"110km"
"A256_P3","LAT","Ter",0.723779884789974,1.84965214217935,"25km"
"A256_P3","LAT","Ter",0.805136947426945,3.10025724723368,"50km"
"A257_P1","LAT","Ter",4.7579333782196,0.406290586481544,"110km"
"A257_P1","LAT","Ter",2.96929613263049,1.95332842483549,"25km"
"A257_P1","LAT","Ter",3.51925110115724,1.68237612746406,"50km"
"A28_P1","LAT","Ter",2.5054898015384,1.84349538780274,"110km"
"A28_P1","LAT","Ter",0.617356997336967,1.51205971873127,"25km"
"A28_P1","LAT","Ter",1.65163977639684,2.27057812764947,"50km"
"A29_P1","LAT","Ter",4.14981251160304,3.2290268713007,"110km"
"A29_P1","LAT","Ter",0.170839870416791,2.76887632088039,"25km"
"A29_P1","LAT","Ter",0.287867877848338,4.00759542127862,"50km"
"A30_P1","LAT","Ter",2.81894367754459,1.23040690305131,"110km"
"A30_P1","LAT","Ter",1.82754844840175,1.7051746424355,"25km"
"A30_P1","LAT","Ter",2.34139086351748,1.59040503848544,"50km"
"A32_P1","LAT","Ter",0.168811727730402,0.20035381827716,"110km"
"A32_P1","LAT","Ter",0.0423584339719636,0.125330580052852,"25km"
"A32_P1","LAT","Ter",0.0915233596611184,0.195431186269293,"50km"
"A33_P1","LAT","Ter",1.65961864313468,1.89927669673889,"110km"
"A33_P1","LAT","Ter",0.822833479723795,1.57104602952999,"25km"
"A33_P1","LAT","Ter",1.12517850385038,1.80595688871337,"50km"
"A36_P1","LAT","Ter",2.03928611065198,1.72096011945513,"110km"
"A36_P1","LAT","Ter",1.13117309682839,1.79350049407969,"25km"
"A36_P1","LAT","Ter",1.55654018409548,1.85545445458863,"50km"
"A39_P1","LAT","Ter",1.39464122056961,0.196777659693961,"110km"
"A39_P1","LAT","Ter",0.503826239675676,0.510723654361415,"25km"
"A39_P1","LAT","Ter",0.834532045799753,0.505385067704052,"50km"
"A4_P1","LAT","Ter",9.84581710071098,6.47996215823179,"110km"
"A4_P1","LAT","Ter",1.77952326734124,4.85759372712367,"25km"
"A4_P1","LAT","Ter",6.31951047098361,9.48020575803898,"50km"
