"reported_name","reported_name_fixed","scientificName","kingdom","phylum","class","order","family","db","db_code","HandWingIndex","KippsDistance","Database","Unit"
"Falco sparverius","Falco sparverius","Falco sparverius","Animalia","Chordata","Aves","Falconiformes","Falconidae","gbif","GBIF:9685907",43.7,77.9,"AVONET","mm"
"Falco tinnunculus","Falco tinnunculus","Falco tinnunculus","Animalia","Chordata","Aves","Falconiformes","Falconidae","gbif","GBIF:9616058",51,123.2,"AVONET","mm"
"Bonasa bonasia","Bonasa bonasia","Tetrastes bonasia","Animalia","Chordata","Aves","Galliformes","Phasianidae","gbif","GBIF:2473663",33,55.8,"AVONET","mm"
"Lagopus lagopus","Lagopus lagopus","Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Phasianidae","gbif","GBIF:2473421",39,75.7,"AVONET","mm"
"Meleagris gallopavo","Meleagris gallopavo","Meleagris gallopavo","Animalia","Chordata","Aves","Galliformes","Phasianidae","gbif","GBIF:9606290",26,115,"AVONET","mm"
"Tympanuchus cupido","Tympanuchus cupido","Tympanuchus cupido","Animalia","Chordata","Aves","Galliformes","Phasianidae","gbif","GBIF:2473510",42.7,86.4,"AVONET","mm"
"Gavia immer","Gavia immer","Gavia immer","Animalia","Chordata","Aves","Gaviiformes","Gaviidae","gbif","GBIF:2481962",49.3,178,"AVONET","mm"
"Antigone canadensis","Antigone canadensis","Grus canadensis","Animalia","Chordata","Aves","Gruiformes","Gruidae","gbif","GBIF:2474953",43.8,210,"AVONET","mm"
"Fulica atra","Fulica atra","Fulica atra","Animalia","Chordata","Aves","Gruiformes","Rallidae","gbif","GBIF:2474377",39.6,78.6,"AVONET","mm"
"Gallinula chloropus","Gallinula chloropus","Gallinula chloropus","Animalia","Chordata","Aves","Gruiformes","Rallidae","gbif","GBIF:5228199",32.2,53,"AVONET","mm"
"Gallinula galeata","Gallinula galeata","Gallinula chloropus","Animalia","Chordata","Aves","Gruiformes","Rallidae","gbif","GBIF:5228199",32.4,57.9,"AVONET","mm"
"Acrocephalus schoenobaenus","Acrocephalus schoenobaenus","Acrocephalus schoenobaenus","Animalia","Chordata","Aves","Passeriformes","Acrocephalidae","gbif","GBIF:2493129",28.2,18.4,"AVONET","mm"
"Acrocephalus scirpaceus","Acrocephalus scirpaceus","Acrocephalus scirpaceus","Animalia","Chordata","Aves","Passeriformes","Acrocephalidae","gbif","GBIF:2493118",24.3,16,"AVONET","mm"
