Species,Original,Genus,Family,Order,Dispersal_syndrome,Growth_form,Seed_weight_(mg),Seed_release_height_(m),Seed_terminal_velocity_(m/s),Maximum_recorded_dispersal_distance_(m),99th_percentile_dispersal_distance_(m),90th_percentile_dispersal_distance_(m),Mean_dispersal_distance_(m),Mode_dispersal_distance_(m),Median_dispersal_distance_(m),Maximum_dispersal_distance_(m),Calculated_maximum_dispersal_distance_(m),Maximum_dispersal_distance_analysis_(m),Data_type,Region,Reference
Carpinus betulus,,Carpinus,Betulaceae,Fagales,wind (special),tree,43,20,,,,,73,,,,425.1182,425.1182,field,temperate,Kohlermann 1950 in Hughes et al. 1994
Jurinea cyanoides,,Jurinea,Asteraceae,Asterales,animal,herb,7.6,0.45,,17,,10,,,,17,,17,field,temperate,Eichberg et al. 2005
Larix decidua,,Larix,Pinaceae,Pinales,wind (special),tree,7.1,35,,,,,29,,,,171.3956,171.3956,field,temperate,Kohlermann 1950 in Hughes et al. 1994
Picea excelsa,,Picea,Pinaceae,Pinales,wind (special),tree,,,,,,,35,,,,206.2353,206.2353,field,temperate,Kohlermann 1950 in Hughes et al. 1994
Prunus avium,,Prunus,Rosaceae,Rosales,animal,tree,142.86,7.5,,2220,,,,,56,2220,,2220,model,temperate,Breitbach et al. 2012
Quercus petraea,,Quercus,Fagaceae,Fagales,animal,tree,2342.2,35,,300,,,,,,300,,300,field,temperate,Kollmann & Schill 1996
Tilia cordata,Tilia parviflora,Tilia,Malvaceae,Malvales,wind (special),tree,31,,,,,,64,,,,373.4918,373.4918,field,temperate,Kohlermann 1950 in Hughes et al. 1994
Tilia platyphyllos subsp. cordifolia,Tilia grandifolia,Tilia,Malvaceae,Malvales,wind (special),tree,98.8,30,,,,,58,,,,339.0105,339.0105,field,temperate,Kohlermann 1950 in Hughes et al. 1994
Ulmus glabra,Ulmus campestris,Ulmus,Ulmaceae,Rosales,wind (special),tree,8.7,,,,,,60,,,,350.5103,350.5103,field,temperate,Kohlermann 1950 in Hughes et al. 1994
Artemisia herba-alba,,Artemisia,Asteraceae,Asterales,wind (none),herb,0.23,,,0.8,,,0.16,,,0.8,,0.8,field,tropics,Friedman & Orshan 1975
Cornus controversa,,Cornus,Cornaceae,Cornales,animal,tree,44,,,40,,,15.32,5,,40,,40,field,temperate,Masaki et al. 1994
Symplocarpus renifolius,,Symplocarpus,Araceae,Alismatales,animal,herb,,,,20,,,,,,20,,20,field,temperate,Wada & Uemura 1994
Trillium camschatcense,Trillium kamtschaticum,Trillium,Melanthiaceae,Liliales,ant,herb,,,,3.3,,,0.61,,,3.3,,3.3,field,temperate,Ohara & Nigashi 1987
Trillium tschonoskii,,Trillium,Melanthiaceae,Liliales,ant,herb,,,,2.7,,,0.64,,,2.7,,2.7,field,temperate,Ohara & Nigashi 1987
Commiphora guillauminii,,Commiphora,Burseraceae,Sapindales,ant,tree,,,,10.4,,,4.4,,,10.4,,10.4,field,tropics,Bšhning-Gaese et al. 1999
Calathea ovandensis,,Calathea,Marantaceae,Zingiberales,ant,herb,,,,20.5,,,9.25,,,20.5,,20.5,field,tropics,Horvitz & Schemske 1986
Ceanothus sp.,,Ceanothus,Rhamnaceae,Rosales,ballistic,shrub,,,,9,,,,,,9,,9,field,tropics,Evans et al. 1987 in Hughes et al. 1994
Cecropia obtusifolia,,Cecropia,Urticaceae,Rosales,animal,tree,0.7,,,86,,,,,,86,,86,field,tropics,Alvares-Buylla & Martinez-Ramos 1990
Cymbopetalum baillonii,,Cymbopetalum,Annonaceae,Magnoliales,animal,shrub,333.5,,,30,,,,,,30,,30,field,tropics,Coates-Estrada & Estrada 1988
Acer rubrum,,Acer,Sapindaceae,Sapindales,wind (special),tree,26.5,,0.66,11371,314.3,,,,83.3,11371,,11371,field,temperate,Higgins et al. 2003
Anthoxanthum odoratum,,Anthoxanthum,Poaceae,Poales,wind (special),herb,0.53,0.74,2.53,2,,,,0.3,,2,,2,field,temperate,Antonovics & Ellstrand 1985 in Willson 1993
Banksia sp.,,Banksia,Proteaceae,Proteales,wind (special),shrub,,,,800,,,,,,800,,800,field,tropics,van der Pijl 1972 in Hughes et al. 1994
Bauhinia purpurea,,Bauhinia,Fabaceae,Fabales,ballistic,tree,290,,,15,,,,,,15,,15,field,temperate,Stebbins 1971
Carya glabra,,Carya,Juglandaceae,Fagales,wind (none),tree,3502,,,646.8,140,,,,2.5,646.8,,646.8,field,temperate,Higgins et al. 2003
Cassia fasciculata,,Cassia,Fabaceae,Fabales,ballistic,herb,8,,,5,,,,0.25,,5,,5,field,temperate,Lee 1984 (pers. comm) in Willson 1993
Dalechampia sp.,,Dalechampia,Euphorbiaceae,Malpighiales,ballistic,herb,,,,6,,,,,,6,,6,field,tropics,Armbuster 1982
Ecballium elaterium,,Ecballium,Cucurbitaceae,Cucurbitales,ballistic,herb,10.9,,,16,,,,,,16,,16,field,temperate,Plitmann 1986 in Hughes et al. 1994
