"","SpeciesChecked","Taxa","Group","LifeSpan","Database","Field","Unit","ecotype","OriginalName","phylum","class","order","family","genus","species","Taxonomic.Group","Ecosystem.Type"
"686","Eugenes fulgens","Eugenes fulgens","Apodiformes","11","amphibio","maximum_longevity_y","yrs","terrestrial","Eugenes fulgens","Chordata","Aves","Apodiformes","Trochilidae","Eugenes","Eugenes fulgens","Bird","terrestrial"
"740","Lampornis clemenciae","Lampornis clemenciae","Apodiformes","12","amphibio","maximum_longevity_y","yrs","terrestrial","Lampornis clemenciae","Chordata","Aves","Apodiformes","Trochilidae","Lampornis","Lampornis clemenciae","Bird","terrestrial"
"825","Selasphorus calliope","Selasphorus calliope","Apodiformes","7","amphibio","maximum_longevity_y","yrs","terrestrial","Selasphorus calliope","Chordata","Aves","Apodiformes","Trochilidae","Selasphorus","Selasphorus calliope","Bird","terrestrial"
"916","Bucorvus leadbeateri","Bucorvus leadbeateri","Bucerotiformes","70","amphibio","maximum_longevity_y","yrs","terrestrial","Bucorvus leadbeateri","Chordata","Aves","Bucerotiformes","Bucorvidae","Bucorvus","Bucorvus leadbeateri","Bird","terrestrial"
"931","Antrostomus carolinensis","Antrostomus carolinensis","Caprimulgiformes","14.83333333","amphibio","maximum_longevity_y","yrs","terrestrial","Antrostomus carolinensis","Chordata","Aves","Caprimulgiformes","Caprimulgidae","Antrostomus","Antrostomus carolinensis","Bird","terrestrial"
"940","Antrostomus vociferus","Antrostomus vociferus","Caprimulgiformes","15","amphibio","maximum_longevity_y","yrs","terrestrial","Antrostomus vociferus","Chordata","Aves","Caprimulgiformes","Caprimulgidae","Antrostomus","Antrostomus vociferus","Bird","terrestrial"
"952","Caprimulgus europaeus","Caprimulgus europaeus","Caprimulgiformes","11.91666667","amphibio","maximum_longevity_y","yrs","terrestrial","Caprimulgus europaeus","Chordata","Aves","Caprimulgiformes","Caprimulgidae","Caprimulgus","Caprimulgus europaeus","Bird","terrestrial"
"978","Chordeiles minor","Chordeiles minor","Caprimulgiformes","10","amphibio","maximum_longevity_y","yrs","terrestrial","Chordeiles minor","Chordata","Aves","Caprimulgiformes","Caprimulgidae","Chordeiles","Chordeiles minor","Bird","terrestrial"
"1008","Phalaenoptilus nuttallii","Phalaenoptilus nuttallii","Caprimulgiformes","3","amphibio","maximum_longevity_y","yrs","terrestrial","Phalaenoptilus nuttallii","Chordata","Aves","Caprimulgiformes","Caprimulgidae","Phalaenoptilus","Phalaenoptilus nuttallii","Bird","terrestrial"
"1046","Alca torda","Alca torda","Charadriiformes","42","amphibio","maximum_longevity_y","yrs","terrestrial","Alca torda","Chordata","Aves","Charadriiformes","Alcidae","Alca","Alca torda","Bird","terrestrial"
"1053","Cepphus grylle","Cepphus grylle","Charadriiformes","29.91666667","amphibio","maximum_longevity_y","yrs","terrestrial","Cepphus grylle","Chordata","Aves","Charadriiformes","Alcidae","Cepphus","Cepphus grylle","Bird","terrestrial"
"1055","Fratercula arctica","Fratercula arctica","Charadriiformes","40.83333333","amphibio","maximum_longevity_y","yrs","terrestrial","Fratercula arctica","Chordata","Aves","Charadriiformes","Alcidae","Fratercula","Fratercula arctica","Bird","terrestrial"
"1065","Uria aalge","Uria aalge","Charadriiformes","42.83333333","amphibio","maximum_longevity_y","yrs","terrestrial","Uria aalge","Chordata","Aves","Charadriiformes","Alcidae","Uria","Uria aalge","Bird","terrestrial"
"1071","Burhinus oedicnemus","Burhinus oedicnemus","Charadriiformes","17.9","amphibio","maximum_longevity_y","yrs","terrestrial","Burhinus oedicnemus","Chordata","Aves","Charadriiformes","Burhinidae","Burhinus","Burhinus oedicnemus","Bird","terrestrial"
"1083","Charadrius dubius","Charadrius dubius","Charadriiformes","13","amphibio","maximum_longevity_y","yrs","terrestrial","Charadrius dubius","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius dubius","Bird","terrestrial"
