"SpeciesChecked";"m";"sd";"med";"q025";"q975";"n"
"Bupleurum falcatum";54.7660550458716;20.8691435350335;52;26.4;100;109
"Bupleurum stellatum";15.4827586206897;6.76583164381972;14;8.35;29.5;29
"Bupleurum tenuissimum";28.125;17.4227189716082;20;7.75;50;12
"Butomus umbellatus";118.5;39.5846491009387;135;49;150;10
"Buxus sempervirens";493.085106382979;415.180098678363;400;30.75;1600;47
"Cakile maritima";21.3860377358491;14.5315791851379;16;4.3;50;53
"Calamagrostis breweri";152.4;NA;152.4;152.4;152.4;1
"Calamagrostis canadensis";90.1034666666667;34.880345799946;96;28.03;140.8288;15
"Calamagrostis canescens";117.272727272727;48.3923359822419;130;42.5;187.5;11
"Calamagrostis lapponica";15;0;15;15;15;4
"Calamagrostis purpurea";101.5;49.4079230199252;113.5;30;150;8
"Calamagrostis varia";58.5875;34.4912592447089;48.75;24.225;114.75;8
"Calamagrostis villosa";50;25.4950975679639;35;35;95.5;7
"Calendula arvensis";18.125;6.5123509031466;20;10;28.25;8
"Calendula officinalis";38.75;8.90926484060273;40;25.9375;49.375;6
"Calliandra eriophylla";70.8;28.060688516143;85.72;31.67;91.44;6
"Callipeltis cucullaris";12.93;0.60811183182043;12.93;12.5215;13.3385;2
"Callitriche heterophylla";10;NA;10;10;10;1
"Callitriche palustris";10.5121818181818;16.7625365730738;1;0.5625;45;11
"Calluna vulgaris";48.9565;44.1979229909865;30;8;176.25;100
"Calocedrus decurrens";4681.50787878788;2016.14979405016;4572;1513.152;7200;33
"Calochortus macrocarpus";54.864;NA;54.864;54.864;54.864;1
"Caltha leptosepala";24.01;9.63927383157051;27.74;11.199;30.48;4
"Caltha palustris";33.6409523809524;24.7561955689403;30;11;90.48;21
"Calycoseris wrightii";42.5;3.53553390593274;42.5;40.125;44.875;2
"Calystegia longipes";150;NA;150;150;150;1
"Calystegia sepium";178.103703703704;109.471041065246;200;15;335;27
"Calystegia soldanella";15.2524096385542;21.5774878502506;7.5;3;54.75;83
"Camassia quamash";70.104;NA;70.104;70.104;70.104;1
"Camelina microcarpa";32.5;9.57427107756338;35;20.75;40;4
"Campanula barbata";21.9931818181818;10.5678409035922;20;7.75;39.09375;11
"Campanula cenisia";2.19642857142857;1.49900760822746;1.75;0.8375;5.975;28
"Campanula cochleariifolia";4.60606060606061;2.94946387013168;4.5;1;11;33
"Campanula glomerata";31.1765217391304;22.5338401296393;33.06;3;77.25;23
"Campanula latifolia";84;29.7955999734487;82.5;50;120;10
"Campanula patula";32.5166666666667;19.3931570464916;31.5;8.5875;62.75;30
