name	family	comment	citation_total	citation_prop_ane	citation_prop_dyso	citation_prop_endo	citation_prop_epi	citation_prop_hem	citation_prop_hydro	citation_prop_other	fruit_type	dia_type	dia_exposure	dia_hetero	dia_app_nutrient	dia_app_elon	dia_app_hook	dia_app_flat	dia_app_ballo	dia_app_muci	dia_app_other	dia_app_no	dia_morph	dia_mass	dia_surfacestructure	dia_length	dia_width	dia_height	dia_shape	dia_form	vterm	rank_ane	rank_hydro	rank_epi_wool	diaspore_seeds_class
Arctium minus (Hill) Bernh. s.str.	Asteraceae	other diaspore-types: fruit|4d.5| & infr|4d.5|	NA	NA	NA	NA	NA	NA	NA	NA	non-fleshy fruit	fruit	covered partly	1	0	0	0	0	0	0	0	1	fruit|7a|	NA	NA	NA	NA	NA	NA	NA	6	0.25	NA	NA	1
Arctium nemorosum Lej.	Asteraceae	other diaspore-types: fruit|4b.4d.5| & infr|4b.4d.5|	2	0	0	0	1	0	0	0	non-fleshy fruit	fruit	covered partly	1	0	0	0	0	0	0	0	1	fruit|7a|	390.07	0.98	8.36	3.39	2	0.11	spherical	8.87	0.09	NA	0.02	1
Arctium tomentosum Mill.	Asteraceae	other diaspore-types: fruit|4b.4d.5| & infr|4b.4d.5|	5	0	0.2	0	0.6	0.2	0	0	non-fleshy fruit	fruit	covered partly	1	0	0	0	0	0	0	0	1	fruit|7a|	10.68	0.98	5.27	2.61	NA	0.09	spherical	8.01	0.11	NA	0.15	1
Arctostaphylos alpinus (L.) Spreng.	Ericaceae	-	4	0	0.25	0.5	0	0	0	0.25	fleshy fruit	fruit	exposed	0	1	0	0	0	0	0	0	0	fruit|1a|	200	NA	7	7	7	0	spherical	NA	NA	NA	NA	2
Arctostaphylos uva-ursi (L.) Spreng.	Ericaceae	-	3	0	0.33	0.67	0	0	0	0	fleshy fruit	fruit	exposed	0	1	0	0	0	0	0	0	0	fruit|1a|	150	0.95	7.6	7.5	6.42	0	spherical	NA	NA	NA	0.03	2
Aremonia agrimonoides (L.) DC.	Rosaceae	-	NA	NA	NA	NA	NA	NA	NA	NA	non-fleshy fruit	fruit	covered partly	0	1	1	0	0	0	0	0	0	fruit|1b.4b|	NA	0.63	5.2	3.17	2	0.06	spherical	NA	NA	NA	NA	1
Arenaria biflora L.	Caryophyllaceae	-	1	0	1	0	0	0	0	0	fruit with upright aperture	seed	enclosed	0	0	0	0	0	0	0	0	1	seed|7a|	NA	0.92	0.72	0.64	NA	NA	NA	2.51	0.52	NA	NA	1
Arenaria ciliata ssp. multicaulis () Arcang.	Caryophyllaceae	-	NA	NA	NA	NA	NA	NA	NA	NA	fruit with upright aperture	seed	enclosed	0	0	0	0	0	0	0	0	1	seed|7a|	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
Arenaria serpyllifolia agg.	Caryophyllaceae	-	15	0	0	0.6	0.13	0.07	0	0.2	fruit with upright aperture	seed	enclosed	0	0	0	0	0	0	0	0	1	seed|7a|	0.063	NA	0.55	0.55	NA	0.05	spherical	1.52	0.7	0.19	NA	1
Argentina anserina (L.) Rydb.	Rosaceae	-	3	0	0	0.33	0.33	0	0.33	0	non-fleshy fruit	fruit segment	covered partly	0	0	0	0	0	0	0	0	1	segm|7b|	NA	NA	NA	NA	NA	0.04	spherical	NA	0.54	NA	NA	1
Aristolochia clematitis L.	Aristolochiaceae	-	NA	NA	NA	NA	NA	NA	NA	NA	fruit with lateral aperture	seed	enclosed	0	0	0	0	0	0	0	0	1	seed|7b|	NA	0.92	13.02	10.45	NA	NA	NA	2.83	0.46	0.89	0.21	1
Armeria arenaria (Pers.) Schult.	Plumbaginaceae	-	NA	NA	NA	NA	NA	NA	NA	NA	non-fleshy fruit	fruit	exposed	0	0	1	0	1	0	0	0	0	fruit|3.4b|	9.503	0.75	6.19	3	2.11	0.08	spherical	3.17	0.4	NA	0.83	1
Armeria maritima ssp. alpina (Willd.) P. Silva	Plumbaginaceae	other diaspore-types: seed|7b|	NA	NA	NA	NA	NA	NA	NA	NA	non-fleshy fruit	fruit	exposed	1	0	1	0	1	0	0	0	0	fruit|3.4b|	1.495	NA	7.46	3.41	NA	NA	NA	NA	NA	NA	NA	1
Armeria maritima ssp. elongata (Hoffm.) Bonnier	Plumbaginaceae	other diaspore-types: seed|7b|	NA	NA	NA	NA	NA	NA	NA	NA	non-fleshy fruit	fruit	exposed	1	0	1	0	1	0	0	0	0	fruit|3.4b|	NA	0.81	6.42	3	2.55	0.07	spherical	1.68	0.71	NA	0.86	1
Armeria maritima ssp. halleri (Wallr.) Rothm. s.l.	Plumbaginaceae	other diaspore-types: seed|7b|	NA	NA	NA	NA	NA	NA	NA	NA	non-fleshy fruit	fruit	exposed	1	0	1	0	1	0	0	0	0	fruit|3.4b|	1.455	0.78	6.19	3.15	NA	NA	NA	2	0.63	NA	0.87	1
Armeria maritima ssp. maritima	Plumbaginaceae	other diaspore-types: seed|7b|	NA	NA	NA	NA	NA	NA	NA	NA	non-fleshy fruit	fruit	exposed	1	0	1	0	1	0	0	0	0	fruit|3.4b|	1.1456	0.67	5.29	1.73	NA	NA	NA	1.48	0.56	NA	0.9	1
