"scientificName","kingdom","phylum","class","order","family","db","BodySize","Database","Code","Unit","Field"
"Phalacrocorax auritus","Animalia","Chordata","Aves","Suliformes","Phalacrocoracidae","gbif",64.2,"AVONET","BodySize","mm","TarsusLength"
"Phalacrocorax pelagicus","Animalia","Chordata","Aves","Suliformes","Phalacrocoracidae","gbif",53.6,"AVONET","BodySize","mm","TarsusLength"
"Morus bassanus","Animalia","Chordata","Aves","Suliformes","Sulidae","gbif",60,"AVONET","BodySize","mm","TarsusLength"
"Abies alba","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif",4691.25043478261,"TRY","MeanBodySize","mm","VegetativeHeight"
"Abies balsamea","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif",420.62976,"TRY","MeanBodySize","mm","VegetativeHeight"
"Abies concolor","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif",4590.65882352941,"TRY","MeanBodySize","mm","VegetativeHeight"
"Abies grandis","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif",2775.08672566372,"TRY","MeanBodySize","mm","VegetativeHeight"
"Abies magnifica","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif",4345.72631578947,"TRY","MeanBodySize","mm","VegetativeHeight"
"Abutilon theophrasti","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","gbif",138,"TRY","MeanBodySize","mm","VegetativeHeight"
"Acer negundo","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif",1179.1040106875,"TRY","MeanBodySize","mm","VegetativeHeight"
"Acer pensylvanicum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif",227.372275,"TRY","MeanBodySize","mm","VegetativeHeight"
"Acer platanoides","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif",2378.03448275862,"TRY","MeanBodySize","mm","VegetativeHeight"
"Acer pseudoplatanus","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif",1761.1219047619,"TRY","MeanBodySize","mm","VegetativeHeight"
"Acer rubrum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif",536.726423357664,"TRY","MeanBodySize","mm","VegetativeHeight"
"Acer saccharinum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif",2039.91523809524,"TRY","MeanBodySize","mm","VegetativeHeight"
"Acer saccharum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif",270.322903645833,"TRY","MeanBodySize","mm","VegetativeHeight"
"Achillea erba-rotta","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif",14,"TRY","MeanBodySize","mm","VegetativeHeight"
"Achillea millefolium","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif",22.5434951277808,"TRY","MeanBodySize","mm","VegetativeHeight"
"Achillea ptarmica","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif",67.6764705882353,"TRY","MeanBodySize","mm","VegetativeHeight"
