"reported_name","Original","Genus","Family","Order","Dispersal_syndrome","Growth_form","Seed_weight_(mg)","Seed_release_height_(m)","Seed_terminal_velocity_(m/s)","Maximum_recorded_dispersal_distance_(m)","99th_percentile_dispersal_distance_(m)","90th_percentile_dispersal_distance_(m)","Mean_dispersal_distance_(m)","Mode_dispersal_distance_(m)","Median_dispersal_distance_(m)","Maximum_dispersal_distance_(m)","Calculated_maximum_dispersal_distance_(m)","Maximum_dispersal_distance_analysis_(m)","Data_type","Region","Reference","genus","species","subspecies","genus_species","reported_name_fixed","scientificName","kingdom","phylum","class","order","family","db","db_code"
"Tanacetum vulgare",NA,"Tanacetum","Asteraceae","Asterales","wind (none)","herb",0.2,1.2,NA,NA,2.4,NA,NA,NA,0.36,2.4,NA,2.4,"model","temperate","Soons & Ozinga 2005","Tanacetum","vulgare",NA,"Tanacetum vulgare","Tanacetum vulgare","Tanacetum vulgare","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3118274"
"Taraxacum officinale",NA,"Taraxacum","Asteraceae","Asterales","wind (special)","herb",0.7,NA,0.357,620,NA,NA,NA,NA,NA,620,NA,620,"field","temperate","Feekes 1936 in Cain et al. 1998","Taraxacum","officinale",NA,"Taraxacum officinale","Taraxacum officinale","Taraxacum officinale","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:5394163"
"Taraxacum erythrospermum","Taraxacum laevigatum","Taraxacum","Asteraceae","Asterales","wind (special)","herb",NA,0.3,NA,NA,2.01,NA,NA,NA,0.19,2.01,NA,2.01,"model","temperate","Soons & Ozinga 2005","Taraxacum","erythrospermum",NA,"Taraxacum erythrospermum","Taraxacum erythrospermum","Taraxacum erythrospermum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:5393872"
"Tephroseris palustris",NA,"Tephroseris","Asteraceae","Asterales","wind (special)","herb",NA,NA,NA,NA,75.49,NA,NA,NA,2.2,75.49,NA,75.49,"model","temperate","Soons & Ozinga 2005","Tephroseris","palustris",NA,"Tephroseris palustris","Tephroseris palustris","Tephroseris palustris","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:7363445"
"Tragopogon pratensis",NA,"Tragopogon","Asteraceae","Asterales","wind (special)","herb",3.5,0.6,0.72,1900,NA,NA,NA,NA,NA,1900,NA,1900,"field","temperate","Feekes 1936 in Cain et al. 1998","Tragopogon","pratensis",NA,"Tragopogon pratensis","Tragopogon pratensis","Tragopogon pratensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:5386897"
"Triglochin maritima",NA,"Triglochin","Juncaginaceae","Alismatales","wind (none)","herb",0.69,0.75,2.16,NA,0.34,NA,NA,NA,0.07,0.34,NA,0.34,"model","temperate","Soons & Ozinga 2005","Triglochin","maritima",NA,"Triglochin maritima","Triglochin maritima","Triglochin maritima","Plantae","Tracheophyta","Liliopsida","Alismatales","Juncaginaceae","gbif","GBIF:2865368"
"Tripleurospermum maritimum",NA,"Tripleurospermum","Asteraceae","Asterales","wind (none)","herb",0.29,NA,NA,NA,0.31,NA,NA,NA,0.05,0.31,NA,0.31,"model","temperate","Soons & Ozinga 2005","Tripleurospermum","maritimum",NA,"Tripleurospermum maritimum","Tripleurospermum maritimum","Tripleurospermum maritimum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3104173"
"Tripolium pannonicum subsp. tripolium","Aster tripolium","Tripolium","Asteraceae","Asterales","wind (special)","herb",2.03,0.6,0.63,1500,NA,NA,NA,NA,NA,1500,NA,1500,"field","temperate","Feekes 1936 in Cain et al. 1998","Tripolium","pannonicum","subsp. tripolium","Tripolium pannonicum","Tripolium pannonicum","Tripolium pannonicum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3098616"
"Typha latifolia",NA,"Typha","Typhaceae","Poales","wind (special)","herb",0.1,2,0.11,5400,NA,NA,NA,NA,NA,5400,NA,5400,"field","temperate","Feekes 1936 in Cain et al. 1998","Typha","latifolia",NA,"Typha latifolia","Typha latifolia","Typha latifolia","Plantae","Tracheophyta","Liliopsida","Poales","Typhaceae","gbif","GBIF:5289423"
"Typha angustifolia",NA,"Typha","Typhaceae","Poales","wind (special)","herb",0.16,2,0.14,NA,2193.84,NA,NA,NA,11.31,2193.84,NA,2193.84,"model","temperate","Soons & Ozinga 2005","Typha","angustifolia",NA,"Typha angustifolia","Typha angustifolia","Typha angustifolia","Plantae","Tracheophyta","Liliopsida","Poales","Typhaceae","gbif","GBIF:5289461"
"Ulmus procera",NA,"Ulmus","Ulmaceae","Rosales","wind (special)","tree",NA,NA,NA,330,NA,NA,NA,NA,NA,330,NA,330,"field","temperate","Feekes 1936 in Cain et al. 1998","Ulmus","procera",NA,"Ulmus procera","Ulmus procera","Ulmus procera","Plantae","Tracheophyta","Magnoliopsida","Rosales","Ulmaceae","gbif","GBIF:7634307"
"Valeriana dioica",NA,"Valeriana","Caprifoliaceae","Dipsacales","wind (special)","herb",0.55,0.3,0.98,NA,0.69,NA,NA,NA,0.11,0.69,NA,0.69,"model","temperate","Soons & Ozinga 2005","Valeriana","dioica",NA,"Valeriana dioica","Valeriana dioica","Valeriana dioica","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","gbif","GBIF:2888762"
"Valeriana officinalis",NA,"Valeriana","Caprifoliaceae","Dipsacales","wind (special)","herb",1.1,1,0.56,NA,4.85,NA,NA,NA,0.59,4.85,NA,4.85,"model","temperate","Soons & Ozinga 2005","Valeriana","officinalis",NA,"Valeriana officinalis","Valeriana officinalis","Valeriana officinalis","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","gbif","GBIF:2888763"
"Verbena officinalis",NA,"Verbena","Verbenaceae","Lamiales","wind (none)","herb",0.33,1,NA,NA,0.44,NA,NA,NA,0.08,0.44,NA,0.44,"model","temperate","Soons & Ozinga 2005","Verbena","officinalis",NA,"Verbena officinalis","Verbena officinalis","Verbena officinalis","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Verbenaceae","gbif","GBIF:2925529"
"Beilschmiedia tawa",NA,"Beilschmiedia","Lauraceae","Laurales","animal","tree",1250,NA,NA,NA,1000,NA,NA,NA,95,1000,NA,1000,"model","temperate","Wotton & Kelly 2012","Beilschmiedia","tawa",NA,"Beilschmiedia tawa","Beilschmiedia tawa","Beilschmiedia tawa","Plantae","Tracheophyta","Magnoliopsida","Laurales","Lauraceae","gbif","GBIF:4182938"
"Neopanax arboreus","Pseudopanax arboreus","Neopanax","Araliaceae","Apiales","animal","tree",9.09,NA,NA,NA,1000,NA,NA,NA,61,1000,NA,1000,"model","temperate","Wotton & Kelly 2012","Neopanax","arboreus",NA,"Neopanax arboreus","Neopanax arboreus","Neopanax arboreus","Plantae","Tracheophyta","Magnoliopsida","Apiales","Araliaceae","gbif","GBIF:3036510"
"Vitex lucens",NA,"Vitex","Lamiaceae","Lamiales","animal","tree",676.31,NA,NA,NA,1000,NA,NA,NA,98,1000,NA,1000,"model","temperate","Wotton & Kelly 2012","Vitex","lucens",NA,"Vitex lucens","Vitex lucens","Vitex lucens","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","gbif","GBIF:3904526"
"Alseis blackiana",NA,"Alseis","Rubiaceae","Gentianales","wind (special)","tree",0.18,NA,0.65,NA,NA,NA,377,NA,NA,NA,2138.5524,2138.5524,"model","tropics","Augspurger 1986","Alseis","blackiana",NA,"Alseis blackiana","Alseis blackiana","Alseis blackiana","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","gbif","GBIF:5334873"
"Aspidosperma desmanthum","Aspidosperma cruentum","Aspidosperma","Apocynaceae","Gentianales","wind (special)","tree",871,NA,0.95,NA,NA,NA,258,NA,NA,NA,1472.4271,1472.4271,"model","tropics","Augspurger 1986","Aspidosperma","desmanthum",NA,"Aspidosperma desmanthum","Aspidosperma desmanthum","Aspidosperma desmanthum","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","gbif","GBIF:3618792"
"Astrocaryum standleyanum",NA,"Astrocaryum","Arecaceae","Arecales","animal","tree",7589,NA,NA,892,NA,NA,NA,NA,131,892,NA,892,"field","tropics","Jansen et al. 2012","Astrocaryum","standleyanum",NA,"Astrocaryum standleyanum","Astrocaryum standleyanum","Astrocaryum standleyanum","Plantae","Tracheophyta","Liliopsida","Arecales","Arecaceae","gbif","GBIF:2738130"
"Astronium graveolans",NA,"Astronium","Anacardiaceae","Sapindales","wind (special)","tree",47.5,NA,1.33,NA,NA,NA,184,NA,NA,NA,1055.7978,1055.7978,"model","tropics","Augspurger 1986","Astronium","graveolans",NA,"Astronium graveolans","Astronium graveolans","Astronium graveolens","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Anacardiaceae","gbif","GBIF:7321588"
"Cavanillesia platanifolia",NA,"Cavanillesia","Malvaceae","Malvales","wind (special)","tree",3055,NA,1.4,NA,NA,NA,224,NA,NA,NA,1281.28,1281.28,"model","tropics","Augspurger 1986","Cavanillesia","platanifolia",NA,"Cavanillesia platanifolia","Cavanillesia platanifolia","Cavanillesia platanifolia","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","gbif","GBIF:4073280"
"Cedrela odorata",NA,"Cedrela","Meliaceae","Sapindales","wind (special)","tree",14.1,NA,0.6,NA,NA,NA,410,NA,NA,NA,2322.6262,2322.6262,"model","tropics","Augspurger 1986","Cedrela","odorata",NA,"Cedrela odorata","Cedrela odorata","Cedrela odorata","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Meliaceae","gbif","GBIF:3190511"
"Ceiba pentandra",NA,"Ceiba","Malvaceae","Malvales","wind (special)","tree",74.1,NA,1,NA,NA,NA,314,NA,NA,NA,1786.4003,1786.4003,"model","tropics","Augspurger 1986","Ceiba","pentandra",NA,"Ceiba pentandra","Ceiba pentandra","Ceiba pentandra","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","gbif","GBIF:5406697"
"Cespedesia macrophylla",NA,"Cespedesia","Ochnaceae","Malpighiales","wind (special)","tree",0.13,NA,0.32,NA,NA,NA,775,NA,NA,NA,4345.8314,4345.8314,"model","tropics","Augspurger 1986","Cespedesia","macrophylla",NA,"Cespedesia macrophylla","Cespedesia macrophylla","Cespedesia spathulata","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Ochnaceae","gbif","GBIF:3695801"
"Cochlospermum vitifolium",NA,"Cochlospermum","Cochlospermaceae","Malvales","wind (special)","tree",24.8,NA,1.09,NA,NA,NA,96,NA,NA,NA,556.615,556.615,"model","tropics","Augspurger 1986","Cochlospermum","vitifolium",NA,"Cochlospermum vitifolium","Cochlospermum vitifolium","Cochlospermum vitifolium","Plantae","Tracheophyta","Magnoliopsida","Malvales","Cochlospermaceae","gbif","GBIF:2874865"
"Cordia alliodora",NA,"Cordia","Boraginaceae","UnplacedEuasteridI","wind (special)","tree",6.25,NA,1.24,NA,NA,NA,140,NA,NA,NA,806.8448,806.8448,"model","tropics","Augspurger 1986","Cordia","alliodora",NA,"Cordia alliodora","Cordia alliodora","Cordia alliodora","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Cordiaceae","gbif","GBIF:7649215"
"Couratari guianensis","Couratari panamensis","Couratari","Lecythidaceae","Ericales","wind (special)","tree",236,NA,1.07,NA,NA,NA,229,NA,NA,NA,1309.4174,1309.4174,"model","tropics","Augspurger 1986","Couratari","guianensis",NA,"Couratari guianensis","Couratari guianensis","Couratari guianensis","Plantae","Tracheophyta","Magnoliopsida","Ericales","Lecythidaceae","gbif","GBIF:3083111"
"Dalbergia retusa",NA,"Dalbergia","Fabaceae","Fabales","wind (special)","tree",248,NA,1.5,NA,NA,NA,117,NA,NA,NA,676.2307,676.2307,"model","tropics","Augspurger 1986","Dalbergia","retusa",NA,"Dalbergia retusa","Dalbergia retusa","Dalbergia retusa","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:2968539"
"Dipteryx oleifera","Dipteryx panamensis","Dipteryx","Fabaceae","Fabales","animal","tree",7542,NA,NA,100,NA,NA,75,NA,NA,100,NA,100,"field","tropics","Morrison in DeSteven & Putz 1985 in Cain et al. 1998","Dipteryx","oleifera",NA,"Dipteryx oleifera","Dipteryx oleifera","Dipteryx oleifera","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:2947126"
"Jacaranda copaia",NA,"Jacaranda","Bignoniaceae","Lamiales","wind (special)","tree",6.5,NA,0.39,NA,NA,NA,538,NA,NA,NA,3034.5183,3034.5183,"model","tropics","Augspurger 1986","Jacaranda","copaia",NA,"Jacaranda copaia","Jacaranda copaia","Jacaranda copaia","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Bignoniaceae","gbif","GBIF:7298763"
"Lafoensia punicifolia",NA,"Lafoensia","Lythraceae","Myrtales","wind (special)","tree",38,NA,1.09,NA,NA,NA,192,NA,NA,NA,1100.9521,1100.9521,"model","tropics","Augspurger 1986","Lafoensia","punicifolia",NA,"Lafoensia punicifolia","Lafoensia punicifolia","Lafoensia punicifolia","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Lythraceae","gbif","GBIF:3989500"
"Lonchocarpus heptaphyllus","Lonchocarpus pentaphyllus","Lonchocarpus","Fabaceae","Fabales","wind (special)","tree",143,NA,1.32,NA,NA,NA,185,NA,NA,NA,1061.4437,1061.4437,"model","tropics","Augspurger 1986","Lonchocarpus","heptaphyllus",NA,"Lonchocarpus heptaphyllus","Lonchocarpus heptaphyllus","Lonchocarpus heptaphyllus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:2969089"
"Lonchocarpus velutinus",NA,"Lonchocarpus","Fabaceae","Fabales","wind (special)","tree",127,NA,1.03,NA,NA,NA,239,NA,NA,NA,1365.663,1365.663,"model","tropics","Augspurger 1986","Lonchocarpus","velutinus",NA,"Lonchocarpus velutinus","Lonchocarpus velutinus","Lonchocarpus velutinus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:2969008"
"Luehea seemannii",NA,"Luehea","Malvaceae","Malvales","wind (special)","tree",2.1,NA,0.7,NA,NA,NA,350,NA,NA,NA,1987.7555,1987.7555,"model","tropics","Augspurger 1986","Luehea","seemannii",NA,"Luehea seemannii","Luehea seemannii","Luehea seemannii","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","gbif","GBIF:7149790"
"Luehea speciosa",NA,"Luehea","Malvaceae","Malvales","wind (special)","tree",4.95,NA,0.97,NA,NA,NA,181,NA,NA,NA,1038.8569,1038.8569,"model","tropics","Augspurger 1986","Luehea","speciosa",NA,"Luehea speciosa","Luehea speciosa","Luehea speciosa","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","gbif","GBIF:5406662"
"Macrocnemum roseum","Macrocnenum glabrescens","Macrocnemum","Rubiaceae","Gentianales","wind (special)","tree",0.02,NA,0.52,NA,NA,NA,340,NA,NA,NA,1931.8582,1931.8582,"model","tropics","Augspurger 1986","Macrocnemum","roseum",NA,"Macrocnemum roseum","Macrocnemum roseum","Macrocnemum roseum","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","gbif","GBIF:2895641"
"Myroxylon balsamum",NA,"Myroxylon","Fabaceae","Fabales","wind (special)","tree",749,NA,1.55,NA,NA,NA,159,NA,NA,NA,914.4812,914.4812,"model","tropics","Augspurger 1986","Myroxylon","balsamum",NA,"Myroxylon balsamum","Myroxylon balsamum","Myroxylon balsamum","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:5357190"
"Ochroma pyramidale",NA,"Ochroma","Malvaceae","Malvales","wind (special)","tree",14.8,NA,0.61,NA,NA,NA,228,NA,NA,NA,1303.7907,1303.7907,"model","tropics","Augspurger 1986","Ochroma","pyramidale",NA,"Ochroma pyramidale","Ochroma pyramidale","Ochroma pyramidale","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","gbif","GBIF:3152240"
"Pachira quinata","Bombacopsis quinata","Pachira","Malvaceae","Malvales","wind (special)","tree",32.9,NA,0.76,NA,NA,NA,324,NA,NA,NA,1842.3676,1842.3676,"model","tropics","Augspurger 1986","Pachira","quinata",NA,"Pachira quinata","Bombax ceiba","Bombax ceiba","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","gbif","GBIF:3152226"
"Pachira sessilis","Bombacopsis sessilis","Pachira","Malvaceae","Malvales","wind (special)","tree",462,NA,1.98,NA,NA,NA,88,NA,NA,NA,510.9412,510.9412,"model","tropics","Augspurger 1986","Pachira","sessilis",NA,"Pachira sessilis","Pachira sessilis","Pachira sessilis","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","gbif","GBIF:4073559"
"Platymiscium pinnatum",NA,"Platymiscium","Fabaceae","Fabales","wind (special)","tree",462,NA,1.28,NA,NA,NA,191,NA,NA,NA,1095.3094,1095.3094,"model","tropics","Augspurger 1986","Platymiscium","pinnatum",NA,"Platymiscium pinnatum","Platymiscium pinnatum","Platymiscium pinnatum","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:2944742"
"Platypodium elegans",NA,"Platypodium","Fabaceae","Fabales","wind (special)","tree",2000,NA,1.782,NA,NA,NA,137,NA,NA,NA,789.8289,789.8289,"model","tropics","Augspurger 1986","Platypodium","elegans",NA,"Platypodium elegans","Platypodium elegans","Platypodium elegans","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:2977383"
"Pseudobombax septenatum",NA,"Pseudobombax","Malvaceae","Malvales","wind (special)","tree",86.9,NA,1.26,NA,NA,NA,139,NA,NA,NA,801.1735,801.1735,"model","tropics","Augspurger 1986","Pseudobombax","septenatum",NA,"Pseudobombax septenatum","Pseudobombax septenatum","Pseudobombax septenatum","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","gbif","GBIF:4073614"
"Pterocarpus rohrii",NA,"Pterocarpus","Fabaceae","Fabales","wind (special)","tree",337,NA,0.91,NA,NA,NA,268,NA,NA,NA,1528.5676,1528.5676,"model","tropics","Augspurger 1986","Pterocarpus","rohrii",NA,"Pterocarpus rohrii","Pterocarpus rohrii","Pterocarpus rohrii","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:5349322"
"Tabebuia guayacan",NA,"Tabebuia","Bignoniaceae","Lamiales","wind (special)","tree",35.7,NA,1.1,NA,NA,NA,223,NA,NA,NA,1275.6513,1275.6513,"model","tropics","Augspurger 1986","Tabebuia","guayacan",NA,"Tabebuia guayacan","Tabebuia guayacan","Handroanthus guayacan","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Bignoniaceae","gbif","GBIF:4092274"
"Tabebuia rosea",NA,"Tabebuia","Bignoniaceae","Lamiales","wind (special)","tree",35.5,NA,0.86,NA,NA,NA,246,NA,NA,NA,1405.0124,1405.0124,"model","tropics","Augspurger 1986","Tabebuia","rosea",NA,"Tabebuia rosea","Tabebuia rosea","Tabebuia rosea","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Bignoniaceae","gbif","GBIF:3172537"
"Tachigali versicolor",NA,"Tachigali","Fabaceae","Fabales","wind (special)","tree",1421,NA,1.73,NA,NA,NA,141,NA,NA,NA,812.5154,812.5154,"model","tropics","Augspurger 1986","Tachigali","versicolor",NA,"Tachigali versicolor","Tachigali versicolor","Tachigali versicolor","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:2945191"
"Terminalia amazonia",NA,"Terminalia","Combretaceae","Myrtales","wind (special)","tree",4.07,NA,0.73,NA,NA,NA,335,NA,NA,NA,1903.8998,1903.8998,"model","tropics","Augspurger 1986","Terminalia","amazonia",NA,"Terminalia amazonia","Terminalia amazonia","Terminalia amazonica","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Combretaceae","gbif","GBIF:8153963"
"Terminalia oblonga",NA,"Terminalia","Combretaceae","Myrtales","wind (special)","tree",54.3,NA,0.89,NA,NA,NA,276,NA,NA,NA,1573.4558,1573.4558,"model","tropics","Augspurger 1986","Terminalia","oblonga",NA,"Terminalia oblonga","Terminalia oblonga","Terminalia oblonga","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Combretaceae","gbif","GBIF:3189396"
"Trichospermum mexicanum",NA,"Trichospermum","Malvaceae","Malvales","wind (special)","tree",2.96,NA,1.19,NA,NA,NA,147,NA,NA,NA,846.5259,846.5259,"model","tropics","Augspurger 1986","Trichospermum","mexicanum",NA,"Trichospermum mexicanum","Trichospermum mexicanum","Trichospermum mexicanum","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","gbif","GBIF:4261486"
"Triplaris cumingiana",NA,"Triplaris","Polygonaceae","Caryophyllales","wind (special)","tree",76.7,NA,0.83,NA,NA,NA,211,NA,NA,NA,1208.0751,1208.0751,"model","tropics","Augspurger 1986","Triplaris","cumingiana",NA,"Triplaris cumingiana","Triplaris cumingiana","Triplaris cumingiana","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","gbif","GBIF:4038399"
"Vatairea erythrocarpa",NA,"Vatairea","Fabaceae","Fabales","wind (special)","tree",1181,NA,1.39,NA,NA,NA,176,NA,NA,NA,1010.612,1010.612,"model","tropics","Augspurger 1986","Vatairea","erythrocarpa",NA,"Vatairea erythrocarpa","Vatairea erythrocarpa","Vatairea erythrocarpa","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:2965130"
"Virola surinamensis",NA,"Virola","Myristicaceae","Magnoliales","animal","tree",1838,NA,NA,291,NA,NA,144,NA,NA,291,NA,291,"model","tropics","Kays et al. 2011","Virola","surinamensis",NA,"Virola surinamensis","Virola surinamensis","Virola surinamensis","Plantae","Tracheophyta","Magnoliopsida","Magnoliales","Myristicaceae","gbif","GBIF:3152848"
"Attalea phalerata",NA,"Attalea","Arecaceae","Arecales","animal","tree",NA,NA,NA,80,30,NA,NA,NA,NA,80,NA,80,"field","tropics","Choo et al. 2012","Attalea","phalerata",NA,"Attalea phalerata","Attalea phalerata","Attalea phalerata","Plantae","Tracheophyta","Liliopsida","Arecales","Arecaceae","gbif","GBIF:2732758"
"Parkia sp.",NA,"Parkia","Fabaceae","Fabales","animal","tree",493.62,NA,NA,675,NA,NA,NA,NA,NA,675,NA,675,"field","tropics","Heymann et al. 2012","Parkia","sp.",NA,"Parkia sp.","Parkia sp.","Parkia sp.",NA,NA,NA,NA,NA,NA,NA
"Virola calophylla",NA,"Virola","Myristicaceae","Magnoliales","animal","tree",1400,NA,NA,1200,NA,NA,258,NA,184,1200,NA,1200,"field","tropics","Russo et al. 2006","Virola","calophylla",NA,"Virola calophylla","Virola calophylla","Virola calophylla","Plantae","Tracheophyta","Magnoliopsida","Magnoliales","Myristicaceae","gbif","GBIF:3152847"
"Mercurialis annua",NA,"Mercurialis","Euphorbiaceae","Malpighiales","ant","herb",1.7,0.5,3.19,14,NA,NA,NA,3.4,NA,14,NA,14,"field","temperate","Lisci & Pacini 1997 in Ness et al. 2004","Mercurialis","annua",NA,"Mercurialis annua","Mercurialis annua","Mercurialis annua","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","gbif","GBIF:3062975"
"Salsola kali","Salsola iberica","Salsola","Amaranthaceae","Caryophyllales","wind (special)","shrub",NA,NA,NA,4069,NA,NA,3050,NA,NA,4069,NA,4069,"field","temperate","Stallings et al. 1995","Salsola","kali",NA,"Salsola kali","Salsola kali","Salsola kali","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","gbif","GBIF:3083957"
"Carica papaya",NA,"Carica","Caricaceae","Brassicales","animal","tree",23,NA,NA,3289,NA,NA,NA,NA,917,3289,NA,3289,"model","tropics","Campoz-Arceiz et al. 2012","Carica","papaya",NA,"Carica papaya","Carica papaya","Carica papaya","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Caricaceae","gbif","GBIF:2874484"
"Dillenia indica",NA,"Dillenia","Dilleniaceae","Dilleniales","animal","tree",21.65,NA,NA,3206,NA,NA,NA,NA,1151,3206,NA,3206,"model","tropics","Campoz-Arceiz et al. 2012","Dillenia","indica",NA,"Dillenia indica","Dillenia indica","Dillenia indica","Plantae","Tracheophyta","Magnoliopsida","Dilleniales","Dilleniaceae","gbif","GBIF:5383898"
"Dimocarpus longan",NA,"Dimocarpus","Sapindaceae","Sapindales","animal","tree",600,NA,NA,2951,NA,NA,NA,NA,1287,2951,NA,2951,"model","tropics","Campoz-Arceiz et al. 2012","Dimocarpus","longan",NA,"Dimocarpus longan","Dimocarpus longan","Dimocarpus longan","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif","GBIF:3190008"
"Leucospermum sp.",NA,"Leucospermum","Proteaceae","Proteales","ant","shrub",100,NA,NA,17,NA,NA,2.5,NA,NA,17,NA,17,"field","tropics","Bond & Slingsby 1983 in Hughes et al. 1994","Leucospermum","sp.",NA,"Leucospermum sp.","Leucospermum sp.","Leucospermum sp.",NA,NA,NA,NA,NA,NA,NA
"Mimetes cucullatus",NA,"Mimetes","Proteaceae","Proteales","ant","shrub",37.03,NA,NA,0.5,NA,NA,NA,NA,NA,0.5,NA,0.5,"field","tropics","Bond & Slingsby 1984","Mimetes","cucullatus",NA,"Mimetes cucullatus","Mimetes cucullatus","Mimetes cucullatus","Plantae","Tracheophyta","Magnoliopsida","Proteales","Proteaceae","gbif","GBIF:8349333"
"Protea repens",NA,"Protea","Proteaceae","Proteales","wind (special)","shrub",67.9,NA,NA,31,NA,NA,NA,NA,NA,31,NA,31,"field","tropics","Bond 1988 in Bullock & Clarke 2000","Protea","repens",NA,"Protea repens","Protea repens","Protea repens","Plantae","Tracheophyta","Magnoliopsida","Proteales","Proteaceae","gbif","GBIF:5636761"
"Coronilla minima",NA,"Coronilla","Fabaceae","Fabales","ant","shrub",10,NA,NA,1.5,NA,NA,0.15,NA,NA,1.5,NA,1.5,"field","temperate","Arnan et al. 2011","Coronilla","minima",NA,"Coronilla minima","Coronilla minima","Coronilla minima","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:5348647"
"Dorycnium pentaphyllum",NA,"Dorycnium","Fabaceae","Fabales","ant","shrub",3.2,0.23,4.4,10.5,NA,NA,0.78,NA,NA,10.5,NA,10.5,"field","temperate","Arnan et al. 2011","Dorycnium","pentaphyllum",NA,"Dorycnium pentaphyllum","Dorycnium pentaphyllum","Lotus dorycnium","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:5632022"
"Euphorbia characias",NA,"Euphorbia","Euphorbiaceae","Malpighiales","ant","shrub",NA,NA,NA,9.4,NA,NA,2.09,NA,NA,9.4,NA,9.4,"field","temperate","G—mez & Espadaler 1998","Euphorbia","characias",NA,"Euphorbia characias","Euphorbia characias","Euphorbia characias","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","gbif","GBIF:3067353"
"Geranium purpureum",NA,"Geranium","Geraniaceae","Geraniales","ballistic","herb",1.87,0.4,NA,1.6,NA,NA,NA,NA,0.44,1.6,NA,1.6,"field","temperate","Herrera 1991","Geranium","purpureum",NA,"Geranium purpureum","Geranium purpureum","Geranium purpureum","Plantae","Tracheophyta","Magnoliopsida","Geraniales","Geraniaceae","gbif","GBIF:2890541"
